Time,Subsystem 37,Subsystem 38,Subsystem 40
215,0.006379,0.059671,0.017695
216,0.006481,0.057922,0.017490
217,0.006276,0.055658,0.017798
218,0.006379,0.053498,0.018107
219,0.006276,0.052469,0.018107
220,0.006276,0.050823,0.018004
221,0.006276,0.049794,0.017695
222,0.006481,0.048148,0.017901
223,0.006481,0.046502,0.017695
224,0.006173,0.045679,0.017695
225,0.006070,0.044444,0.017593
226,0.005967,0.043210,0.017490
227,0.005761,0.041975,0.017798
228,0.005658,0.041358,0.017490
229,0.005556,0.040123,0.017593
230,0.005350,0.038889,0.017901
231,0.005144,0.038889,0.017490
232,0.004938,0.038272,0.017284
233,0.004835,0.037654,0.017284
234,0.004733,0.037037,0.017284
235,0.004733,0.036420,0.017181
236,0.004630,0.035185,0.017181
237,0.004630,0.033951,0.017593
238,0.004424,0.033951,0.016975
239,0.004527,0.035185,0.017695
240,0.004630,0.036420,0.018416
241,0.004938,0.037037,0.018827
242,0.004938,0.038786,0.019033
243,0.005144,0.039403,0.020267
244,0.005144,0.041152,0.020473
245,0.005144,0.042901,0.020679
246,0.005247,0.044342,0.020988
247,0.005247,0.045782,0.021296
248,0.005350,0.045782,0.021708
249,0.005453,0.047531,0.021708
250,0.005453,0.048971,0.022016
251,0.005453,0.050412,0.022325
252,0.005453,0.052160,0.022531
253,0.005556,0.052675,0.023251
254,0.005556,0.054218,0.023251
255,0.005658,0.055658,0.023765
256,0.005761,0.056893,0.024383
257,0.005761,0.058436,0.024897
258,0.005864,0.059259,0.026132
259,0.005864,0.060391,0.027263
260,0.005967,0.061111,0.028601
261,0.005967,0.061111,0.031070
262,0.005967,0.061111,0.032819
263,0.005967,0.062551,0.032819
264,0.005967,0.063992,0.032819
265,0.005967,0.065432,0.033025
266,0.005967,0.068313,0.033333
267,0.005967,0.069753,0.034362
268,0.005967,0.071193,0.035082
269,0.005967,0.072634,0.036008
270,0.005967,0.074074,0.037140
271,0.005967,0.075514,0.038374
272,0.005967,0.076955,0.039712
273,0.005967,0.078395,0.041667
274,0.005967,0.082202,0.042078
275,0.006276,0.084465,0.043724
276,0.006379,0.087449,0.044959
277,0.006379,0.091255,0.045576
278,0.006790,0.092901,0.048045
279,0.006790,0.096708,0.048663
280,0.007305,0.098251,0.051029
281,0.007305,0.102881,0.051029
282,0.008848,0.104938,0.052160
283,0.009156,0.108745,0.052778
284,0.010082,0.111831,0.053498
285,0.010802,0.115432,0.054115
286,0.011626,0.117901,0.055864
287,0.011831,0.122428,0.056070
288,0.012963,0.125412,0.057099
289,0.013066,0.129115,0.057716
290,0.014095,0.131687,0.059156
291,0.014095,0.136317,0.059362
292,0.015123,0.138477,0.060802
293,0.015123,0.143210,0.061008
294,0.015741,0.145473,0.062551
295,0.015741,0.149486,0.063374
296,0.016358,0.152881,0.064918
297,0.016358,0.157819,0.065535
298,0.017284,0.161317,0.066564
299,0.017284,0.166255,0.067181
300,0.018210,0.169959,0.068107
301,0.018827,0.173354,0.069444
302,0.018827,0.178086,0.070062
303,0.019444,0.181584,0.071296
304,0.019444,0.185082,0.071914
305,0.020370,0.188580,0.073045
306,0.020679,0.192387,0.074280
307,0.020988,0.195885,0.075823
308,0.021605,0.197737,0.077572
309,0.021605,0.202263,0.078395
310,0.021914,0.204630,0.081173
311,0.022531,0.207819,0.082613
312,0.022531,0.211626,0.083951
313,0.022016,0.201852,0.079938
314,0.021914,0.191152,0.076235
315,0.021399,0.181790,0.073354
316,0.020165,0.175103,0.069650
317,0.019444,0.166152,0.067078
318,0.018930,0.158333,0.065021
319,0.018416,0.151029,0.062860
320,0.017593,0.144856,0.060905
321,0.017284,0.139095,0.058642
322,0.017490,0.132407,0.056687
