Vehicle,Origin,Destination,Time
390,0,12,1.666667
391,18,12,1.666667
392,54,12,1.666667
393,48,12,1.666667
394,9,12,0.516667
395,19,12,0.566667
396,22,12,1.066667
397,11,12,1.666667
398,37,12,1.666667
399,55,12,1.500000
400,12,16,1.666667
401,24,16,1.666667
402,18,16,1.250000
403,49,16,1.666667
404,34,16,1.666667
405,11,16,0.616667
406,55,16,0.716667
407,3,18,1.666667
408,12,18,1.666667
409,24,18,1.666667
410,0,18,1.666667
411,2,18,1.666667
412,8,18,1.666667
413,32,18,1.666667
414,54,18,1.666667
415,49,18,1.666667
416,48,18,1.666667
417,9,18,1.666667
418,19,18,1.666667
419,22,18,1.666667
420,34,18,1.666667
421,16,18,1.266667
422,56,18,1.666667
423,11,18,0.533333
424,21,18,0.583333
425,23,18,0.900000
426,55,18,1.666667
427,3,19,1.666667
428,12,19,1.383333
429,24,19,1.666667
430,18,19,1.666667
431,32,19,1.666667
432,54,19,1.666667
433,49,19,1.666667
434,22,19,0.283333
435,34,19,1.666667
436,3,21,1.666667
437,2,21,1.666667
438,8,21,1.666667
439,18,21,1.516667
440,32,21,0.833333
441,48,21,1.666667
442,34,21,1.666667
443,6,21,1.666667
444,11,21,0.516667
445,55,21,1.666667
446,12,22,1.666667
447,24,22,1.566667
448,0,22,1.666667
449,2,22,1.666667
450,18,22,1.666667
451,54,22,1.316667
452,48,22,1.666667
453,9,22,1.066667
454,19,22,0.250000
455,33,22,0.500000
456,34,22,1.566667
457,16,22,1.666667
458,56,22,1.666667
459,55,22,1.666667
460,3,23,1.666667
461,2,23,1.666667
462,18,23,1.666667
463,32,23,0.450000
464,48,23,1.216667
465,56,23,1.666667
466,11,23,0.983333
467,21,23,0.266667
468,3,24,1.666667
469,12,24,1.666667
470,24,24,0.000000
471,0,24,1.666667
472,2,24,1.666667
473,8,24,1.666667
474,18,24,1.666667
475,32,24,1.666667
476,54,24,1.283333
477,49,24,1.666667
478,48,24,1.433333
479,19,24,1.100000
480,22,24,0.533333
481,33,24,0.366667
482,34,24,1.366667
483,46,24,1.183333
484,6,24,1.666667
485,16,24,1.666667
486,56,24,1.666667
487,11,24,1.666667
488,37,24,1.666667
489,24,32,1.666667
490,54,32,1.666667
491,49,32,1.666667
492,48,32,1.150000
493,22,32,1.666667
494,46,32,1.666667
495,56,32,1.666667
496,37,32,0.983333
497,55,32,1.666667
