Time,Mean,Mean+SD,Mean-SD,SD
252,0.003440,0.003440,0.003439,0.000000
253,0.003430,0.003430,0.003429,0.000000
254,0.003421,0.003421,0.003421,0.000000
255,0.003413,0.003413,0.003412,0.000000
256,0.003405,0.003405,0.003405,0.000000
257,0.003398,0.003398,0.003398,0.000000
258,0.003391,0.003392,0.003391,0.000000
259,0.003386,0.003386,0.003386,0.000000
260,0.003376,0.003376,0.003376,0.000000
261,0.003366,0.003366,0.003366,0.000000
262,0.003420,0.003420,0.003420,0.000000
263,0.003460,0.003460,0.003459,0.000000
264,0.003489,0.003490,0.003489,0.000000
265,0.003511,0.003512,0.003510,0.000001
266,0.003527,0.003527,0.003526,0.000001
267,0.003547,0.003548,0.003546,0.000001
268,0.003566,0.003567,0.003565,0.000001
269,0.003578,0.003580,0.003577,0.000001
270,0.003591,0.003592,0.003589,0.000001
271,0.003594,0.003596,0.003593,0.000002
272,0.003597,0.003598,0.003595,0.000002
273,0.003602,0.003604,0.003600,0.000002
274,0.003602,0.003604,0.003601,0.000002
275,0.003596,0.003598,0.003595,0.000002
276,0.003598,0.003599,0.003596,0.000002
277,0.003590,0.003591,0.003588,0.000002
278,0.003586,0.003587,0.003585,0.000001
279,0.003581,0.003582,0.003579,0.000001
280,0.003574,0.003575,0.003573,0.000001
281,0.003565,0.003566,0.003564,0.000001
282,0.003556,0.003557,0.003554,0.000001
283,0.003547,0.003548,0.003546,0.000001
284,0.003538,0.003539,0.003537,0.000001
285,0.003531,0.003532,0.003530,0.000001
286,0.003524,0.003525,0.003523,0.000001
287,0.003510,0.003511,0.003510,0.000001
288,0.003498,0.003499,0.003498,0.000001
289,0.003483,0.003483,0.003482,0.000001
290,0.003468,0.003468,0.003467,0.000000
291,0.003454,0.003454,0.003453,0.000000
292,0.003440,0.003440,0.003439,0.000000
293,0.003427,0.003428,0.003427,0.000000
294,0.003415,0.003416,0.003415,0.000000
295,0.003404,0.003405,0.003404,0.000000
296,0.003393,0.003394,0.003393,0.000000
297,0.003384,0.003384,0.003384,0.000000
298,0.003375,0.003375,0.003375,0.000000
299,0.003367,0.003367,0.003367,0.000000
300,0.003360,0.003360,0.003359,0.000000
301,0.003352,0.003353,0.003352,0.000000
302,0.003346,0.003346,0.003346,0.000000
303,0.003341,0.003341,0.003341,0.000000
304,0.003335,0.003335,0.003335,0.000000
305,0.003330,0.003330,0.003330,0.000000
306,0.003325,0.003325,0.003325,0.000000
307,0.003320,0.003320,0.003320,0.000000
308,0.003325,0.003325,0.003324,0.000000
309,0.003329,0.003329,0.003329,0.000000
310,0.003334,0.003334,0.003334,0.000000
311,0.003338,0.003338,0.003338,0.000000
312,0.003342,0.003342,0.003342,0.000000
313,0.003345,0.003345,0.003345,0.000000
314,0.003348,0.003348,0.003348,0.000000
315,0.003351,0.003351,0.003351,0.000000
316,0.003353,0.003353,0.003353,0.000000
317,0.003354,0.003354,0.003354,0.000000
